29.57	31.08
11.06	75.96
37.99	76.47
52.23	51.17
13.80	16.98
3.88	60.23
53.83	64.25
56.29	34.73
94.35	30.65
32.84	18.57
40.62	72.58
93.51	84.10
68.04	4.70
70.07	49.90
17.23	88.46
18.21	12.64
45.30	15.08
50.15	77.23
27.61	60.55
23.71	54.37
90.57	30.02
38.35	4.39
37.28	59.03
50.81	13.23
57.72	74.85
17.44	71.44
18.91	50.65
92.18	35.19
31.42	63.97
12.46	94.82
8.79	99.29
7.56	96.07
73.39	32.55
90.11	11.13
54.30	2.12
60.46	69.45
20.10	24.87
2.50	18.35
2.15	84.58
57.72	71.27
45.94	46.95
7.79	2.13
52.41	34.23
91.05	7.83
91.90	72.92
25.81	50.89
98.38	57.36
19.58	1.91
91.53	50.52
61.27	67.33
45.24	16.39
41.79	90.19
99.59	11.62
92.77	12.30
88.86	52.06
68.78	63.67
51.37	3.17
87.39	11.56
23.53	10.94
6.41	98.79
2.99	79.83
47.24	50.28
14.55	43.09
2.20	92.41
31.60	89.38
32.03	45.08
28.20	36.82
86.23	14.08
54.70	40.82
89.68	64.54
74.46	94.01
39.95	57.81
79.15	38.65
61.13	72.69
71.75	40.88
97.08	69.41
43.24	37.32
10.51	3.27
62.79	4.52
97.61	26.93
1.50	86.88
34.77	86.15
52.20	15.39
71.97	1.99
28.38	71.59
38.96	71.00
46.10	16.95
18.57	7.59
10.22	66.32
61.03	91.91
31.43	82.61
19.42	78.98
58.98	7.47
21.05	10.48
57.57	58.10
84.75	65.59
69.53	11.51
87.32	82.21
80.70	33.31
61.55	33.87
42.63	82.45
88.53	91.22
7.27	96.45
88.51	16.11
82.07	79.85
74.54	63.63
77.28	76.94
37.22	47.64
36.59	82.19
1.59	97.11
81.28	41.82
80.21	31.69
4.23	41.90
36.73	7.85
76.29	38.89
4.20	63.64
21.19	14.79
60.90	33.15
92.86	97.79
73.42	45.28
10.79	54.67
93.67	83.35
4.13	79.48
22.99	73.59
41.74	15.75
72.43	5.03
26.91	11.26
34.19	66.50
60.38	71.66
52.16	88.71
21.54	10.84
3.75	62.76
97.81	26.09
38.67	71.27
68.04	59.26
29.83	15.18
27.33	10.83
31.20	37.10
49.57	20.66
99.88	4.32
55.13	62.81
42.70	18.02
32.01	41.69
83.83	91.59
85.27	12.37
84.26	59.65
84.32	71.05
70.15	5.89
90.32	51.33
16.18	68.47
57.53	1.45
65.44	71.78
71.40	59.83
52.05	77.34
23.34	8.86
79.13	20.83
17.98	3.85
21.17	17.69
4.81	67.90
3.64	78.89
71.24	68.05
54.86	34.82
56.32	97.28
44.99	89.56
70.90	42.67
42.38	75.08
99.22	98.37
22.48	35.59
78.99	43.15
56.78	9.95
44.64	91.89
99.02	15.92
15.45	47.64
12.08	42.88
11.78	22.03
37.48	86.62
87.15	64.45
31.46	6.78
62.46	31.08
62.21	49.63
3.19	9.95
64.24	8.85
80.23	23.02
71.97	72.37
91.29	57.62
67.71	48.79
53.71	72.21
40.46	96.76
89.66	41.02
47.94	79.80
60.12	91.91
8.70	52.59
76.89	25.19
90.80	37.58
20.08	55.58
29.84	95.70
40.47	9.51
73.14	5.91
75.75	15.26
85.55	82.71
56.52	58.76
12.38	87.88
68.79	67.10
85.37	23.95
91.59	73.30
48.94	54.68
66.84	19.87
85.97	95.23
76.86	61.00
81.29	53.57
42.24	73.05
11.14	62.11
81.29	29.48
48.04	1.87
72.77	87.68
69.32	35.01
47.39	51.23
75.37	80.51
69.25	80.89
85.86	41.43
92.75	95.19
25.48	12.86
86.16	63.48
9.91	84.26
17.92	88.84
44.90	60.73
18.39	20.95
30.10	65.17
41.95	82.85
68.89	14.62
11.54	52.73
15.00	10.74
66.86	77.74
43.87	85.72
46.21	56.55
97.35	69.47
35.63	42.28
61.23	17.03
17.89	64.47
70.67	2.93
39.50	84.39
64.15	45.07
30.59	19.69
