100
41.30,124.25
22.62,114.00
57.93,152.55
72.41,210.64
47.65,130.79
37.95,112.48
75.67,185.85
87.76,245.19
84.91,229.46
78.62,191.55
85.49,201.70
74.19,214.23
32.82,124.86
32.80,130.70
87.44,232.44
8.07,66.28
24.87,86.73
25.20,104.85
34.62,115.39
84.58,221.96
98.85,244.24
16.97,72.95
33.49,131.42
23.29,109.28
19.72,108.14
21.77,82.82
18.67,86.16
53.03,153.12
79.29,192.12
12.99,77.48
4.57,56.81
90.91,241.20
46.36,156.77
44.35,155.58
93.90,248.29
72.18,174.96
87.79,226.27
10.12,59.63
73.90,192.53
14.40,69.06
40.18,141.47
57.75,169.07
43.32,150.76
24.60,101.87
31.13,105.47
26.32,114.20
1.30,61.19
32.06,124.31
34.81,123.26
31.75,125.95
15.74,90.94
72.03,183.79
75.76,212.14
52.95,148.81
11.59,64.02
21.89,78.14
25.32,106.06
68.61,184.29
15.56,82.20
6.33,70.48
89.93,238.36
19.22,96.81
75.99,210.24
15.66,83.98
62.75,165.34
34.69,126.99
77.31,195.37
50.89,169.41
14.63,84.47
53.80,144.82
63.77,178.78
69.29,183.85
27.23,91.01
69.11,200.04
2.29,35.48
81.49,194.86
21.31,106.22
62.08,177.07
14.54,85.23
30.52,95.61
63.56,166.78
4.81,76.72
10.83,60.66
30.31,105.19
49.79,163.07
3.45,63.46
32.31,107.37
3.15,71.21
62.01,185.41
11.07,52.75
41.39,113.80
29.23,128.46
68.89,203.97
54.72,162.25
7.04,55.29
79.40,221.04
34.82,126.39
78.32,205.10
41.71,119.10
35.05,124.59
