20	120
108.23	193.76	178.70	140.95	105.13	131.14	166.07	192.81	112.83	177.97	123.35	155.52	145.42	180.39	119.82	200.00	162.03	187.15	137.93	129.06	
107.77	193.50	179.49	140.45	106.43	131.67	166.89	191.87	110.82	178.23	120.44	154.48	144.73	180.02	120.89	200.16	163.30	187.88	137.79	130.83	
107.96	192.42	180.92	141.56	107.09	130.79	167.12	190.49	111.11	179.60	120.06	155.66	145.50	180.01	121.40	201.23	163.25	188.87	136.91	129.61	
107.55	192.03	179.78	140.82	106.77	130.95	166.57	191.08	111.49	179.38	120.04	154.04	146.33	180.69	120.94	200.95	164.06	190.35	136.79	128.67	
108.57	191.25	179.52	140.63	108.26	132.28	167.74	191.40	109.41	179.92	120.24	154.43	148.52	180.90	121.01	202.48	164.11	190.51	134.18	129.18	
109.15	189.84	181.41	140.45	108.28	132.67	167.26	190.68	109.43	178.79	120.03	154.24	148.47	180.95	120.17	201.95	164.26	191.31	134.84	130.01	
107.61	189.04	179.73	141.20	109.63	133.69	166.64	191.14	109.16	178.24	119.05	154.38	148.47	181.23	119.15	202.40	165.08	189.27	133.49	130.15	
106.32	189.56	179.95	143.57	111.56	132.30	166.34	190.45	109.49	177.97	119.56	155.48	147.95	180.83	119.01	201.48	165.20	190.88	133.65	130.71	
105.85	189.62	180.95	143.81	112.54	132.31	164.63	190.26	109.80	176.46	118.75	155.73	147.53	180.39	118.98	203.54	165.02	190.57	132.74	131.20	
104.95	188.85	180.43	144.44	114.00	134.17	164.76	189.05	110.67	177.12	118.52	156.57	145.77	181.84	120.30	203.96	166.55	190.46	131.49	133.04	
103.29	187.80	180.48	141.73	113.62	134.05	163.87	189.30	112.14	177.34	120.03	156.03	145.73	180.09	119.54	204.07	166.61	188.84	131.15	131.13	
101.28	187.34	181.16	140.66	112.58	135.10	165.46	188.86	111.65	177.36	120.13	155.64	145.95	181.60	122.01	203.32	165.17	187.82	129.98	131.62	
101.61	186.79	181.43	139.98	112.12	134.95	164.84	189.85	110.26	177.15	120.57	156.04	146.10	181.54	121.63	202.87	164.92	187.21	128.91	130.90	
102.44	184.38	183.01	141.73	111.57	134.96	164.25	189.75	110.49	176.05	120.05	155.57	145.44	180.94	119.33	201.30	164.37	188.13	128.23	131.29	
101.07	184.80	183.22	138.48	112.07	133.11	162.94	189.43	110.67	173.89	118.68	155.05	147.14	180.46	120.09	202.01	163.45	189.02	126.08	130.55	
101.84	184.90	183.09	137.57	111.18	132.48	162.36	187.26	111.22	173.19	119.54	154.37	147.92	181.03	120.39	201.09	163.17	189.68	126.03	130.71	
101.06	186.31	183.69	139.26	111.44	132.05	162.96	186.26	108.43	172.13	121.33	153.76	148.45	180.94	120.65	200.34	163.63	189.54	127.03	132.16	
103.72	186.52	182.59	139.34	110.19	133.46	162.55	186.05	109.75	171.61	122.32	152.55	149.81	181.14	122.73	201.56	162.83	188.99	126.18	132.48	
104.48	186.96	182.54	140.11	109.30	132.85	163.84	186.55	109.27	171.40	122.30	152.89	150.80	181.66	121.40	201.76	163.35	189.46	126.17	132.03	
103.31	187.47	181.92	138.71	108.47	130.20	163.90	187.04	110.59	171.42	121.27	153.74	150.66	181.82	121.72	201.60	163.21	186.94	125.93	132.44	
