50	120
171.12	184.31	174.98	195.96	196.59	145.71	133.84	182.95	125.29	102.76	197.67	191.33	187.22	146.56	114.51	176.99	103.92	123.21	165.46	104.15	186.31	169.32	114.42	158.72	110.30	101.53	194.40	124.98	172.36	126.21	154.89	154.39	120.91	123.99	194.38	127.73	101.12	105.65	156.92	182.54	177.86	167.27	109.01	135.37	185.92	103.63	118.52	113.83	141.83	98.38	
171.85	184.93	176.84	195.47	199.80	146.60	132.45	181.84	125.16	101.96	198.36	191.51	187.16	146.60	115.32	178.13	104.55	122.44	166.69	103.49	187.80	169.60	114.29	157.09	109.54	102.93	194.79	123.98	172.33	126.18	156.23	153.91	122.21	123.69	194.53	127.74	100.41	105.65	158.38	183.15	178.71	168.08	108.82	134.62	185.57	105.64	118.86	113.74	142.98	99.48	
170.42	185.61	177.27	194.90	200.34	147.72	133.24	182.10	123.91	99.59	198.53	191.53	188.56	145.71	115.63	178.01	105.15	123.26	167.32	102.97	187.99	168.42	114.65	157.58	109.25	102.85	194.04	123.78	173.78	128.37	157.99	153.16	122.12	122.99	195.11	128.79	100.27	103.37	158.09	183.50	179.69	167.31	107.33	136.10	185.68	105.39	118.07	112.19	142.47	100.16	
170.53	185.84	176.68	197.04	201.12	147.26	133.83	183.19	122.56	100.40	198.90	191.20	188.86	146.85	115.94	176.56	102.62	121.83	169.17	103.91	188.83	169.46	114.47	156.61	109.96	101.94	194.31	124.80	173.90	127.39	156.55	153.83	121.00	121.11	193.10	128.90	102.18	102.38	158.13	182.73	178.95	167.22	107.56	135.81	185.23	105.15	117.49	112.42	142.44	100.29	
170.13	185.90	179.09	196.52	200.47	148.53	133.91	183.03	123.88	99.85	199.43	190.15	187.27	147.77	115.26	177.51	101.53	122.37	169.05	104.85	188.08	169.90	114.60	157.32	111.18	101.38	192.80	126.29	173.02	126.26	156.64	153.35	119.90	120.45	191.10	130.17	102.41	102.63	157.68	182.86	178.45	168.02	106.37	135.66	185.39	106.42	116.86	111.64	142.66	99.89	
171.69	185.28	178.91	196.75	200.87	147.65	133.80	182.67	122.16	100.23	198.97	190.31	186.13	146.69	116.86	177.03	101.79	122.04	170.12	105.75	188.19	170.77	113.93	158.11	112.03	99.89	193.37	126.01	174.21	126.01	157.43	153.95	119.41	120.02	193.35	128.60	103.11	100.74	157.45	181.80	178.26	166.91	106.66	134.08	185.11	107.74	117.15	110.71	141.43	99.84	
169.66	184.80	177.41	196.11	199.70	148.48	134.73	182.21	123.52	99.87	197.45	188.80	186.66	149.10	119.56	176.16	102.96	121.11	170.07	106.48	188.44	170.65	114.27	157.16	112.32	98.62	192.90	124.80	174.95	125.36	157.72	152.65	117.96	120.85	194.93	128.91	103.12	101.91	157.59	182.49	176.45	166.39	106.10	135.66	184.73	107.30	117.53	109.87	144.59	99.90	
168.33	185.45	178.06	197.70	201.20	147.25	133.48	181.53	122.43	98.84	196.91	189.00	186.68	149.27	119.80	176.36	102.43	119.86	170.29	105.03	189.03	169.40	114.83	156.51	112.16	101.16	192.68	125.65	175.72	125.36	158.30	153.20	117.42	122.05	195.90	128.13	102.36	102.16	156.19	182.51	176.88	168.07	106.12	135.14	185.72	107.23	118.65	109.92	145.21	100.95	
167.79	184.86	179.83	196.45	201.11	146.07	135.58	179.66	123.73	100.00	197.20	187.13	186.52	149.79	120.01	175.84	101.52	119.19	171.17	104.17	189.35	169.73	114.75	157.48	110.87	102.16	192.45	126.12	176.64	124.99	159.06	153.91	116.94	121.15	197.71	130.19	103.41	99.86	159.78	181.29	177.31	168.98	105.42	135.03	185.59	107.99	117.14	110.32	146.61	101.02	
169.08	182.77	179.37	197.22	199.85	146.18	134.63	179.71	123.87	99.87	195.92	187.00	187.50	151.39	119.82	175.88	101.10	116.72	170.28	103.66	190.04	169.53	114.86	157.44	111.41	103.37	192.85	124.25	176.48	124.57	159.67	153.44	116.85	121.01	197.61	129.85	102.03	100.68	158.66	181.23	176.60	168.16	102.99	134.03	184.91	106.90	116.38	110.51	146.82	100.24	
